epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2855,0.95663,6.1366,0.01341,0.00353,0.07292,0.03114,0.02823,1.28912,8.54031,0.01845,1.666e-05,1.666e-05,1.666e-05
2,29.2277,1.14781,6.10912,0.01519,0.02919,0.10417,0.03723,0.03169,1.15352,8.40883,0.0156,4.14438e-05,4.14438e-05,4.14438e-05
3,43.5829,0.8537,6.27994,0.01242,0.0153,0.10417,0.03608,0.031,1.08602,8.4,0.01429,6.59803e-05,6.59803e-05,6.59803e-05
4,57.5995,0.92618,6.30829,0.01219,0.0147,0.13542,0.03775,0.03024,1.06525,8.36836,0.01382,9.02693e-05,9.02693e-05,9.02693e-05
5,72.8391,1.06396,6.75748,0.01489,0.00995,0.13542,0.05066,0.04213,1.01726,8.33619,0.01236,0.000114311,0.000114311,0.000114311
6,87.916,1.0944,6.10197,0.0149,0.01253,0.19792,0.04149,0.03323,0.96698,8.27958,0.01141,0.000138105,0.000138105,0.000138105
7,101.809,0.88382,5.5869,0.01017,0.00769,0.19792,0.05563,0.0442,0.93594,8.24599,0.01131,0.000161652,0.000161652,0.000161652
8,115.806,1.05066,6.36191,0.01569,0.00749,0.22917,0.0568,0.04451,0.97325,8.24663,0.01171,0.000184951,0.000184951,0.000184951
9,130.12,0.98113,5.32415,0.01116,0.02009,0.47917,0.07208,0.05362,0.97241,8.22192,0.01109,0.000208003,0.000208003,0.000208003
10,144.593,0.98742,5.35415,0.01199,0.01552,0.47917,0.07279,0.05278,1.03354,8.25036,0.01273,0.000230808,0.000230808,0.000230808
11,159.509,1.02788,7.62827,0.02231,0.00929,0.47917,0.06819,0.05079,1.02972,8.18686,0.0111,0.000253365,0.000253365,0.000253365
12,176.556,0.9161,6.08486,0.01157,0.00964,0.41667,0.07412,0.05009,1.01262,8.15753,0.01094,0.000275675,0.000275675,0.000275675
13,192.223,1.0105,5.82002,0.01356,0.0078,0.54167,0.07881,0.05486,1.04503,8.14541,0.01156,0.000297738,0.000297738,0.000297738
14,207.623,0.92752,5.72463,0.01372,0.00734,0.54167,0.07493,0.05632,1.00575,8.0899,0.01128,0.000319553,0.000319553,0.000319553
15,221.612,0.77707,7.19283,0.01114,0.00651,0.54167,0.07457,0.05895,0.97324,8.08396,0.01095,0.00034112,0.00034112,0.00034112
16,237.064,0.70162,5.86051,0.01073,0.0053,0.47917,0.07828,0.06488,1.02537,8.10883,0.012,0.00036244,0.00036244,0.00036244
17,251.393,0.96093,5.69786,0.01094,0.0056,0.41667,0.09413,0.07845,1.12632,8.15376,0.01373,0.000383513,0.000383513,0.000383513
18,265.594,0.91557,5.36173,0.01314,0.00548,0.41667,0.13746,0.11609,1.15593,8.16449,0.01471,0.000404339,0.000404339,0.000404339
19,279.838,0.80424,5.90689,0.01376,0.00524,0.41667,0.14066,0.11804,1.13498,8.14453,0.0147,0.000424917,0.000424917,0.000424917
20,294.034,0.70372,5.24862,0.00928,0.00499,0.41667,0.16307,0.13379,1.13276,8.13933,0.01391,0.000445247,0.000445247,0.000445247
21,308.151,1.01006,5.59383,0.0106,0.00489,0.41667,0.16593,0.1356,1.24742,8.20852,0.01655,0.00046533,0.00046533,0.00046533
22,322.15,1.13635,5.7115,0.01578,0.00481,0.41667,0.13743,0.11211,1.20987,8.17618,0.01629,0.000485166,0.000485166,0.000485166
23,335.981,0.98744,4.99475,0.01413,0.00487,0.41667,0.1434,0.11969,1.24095,8.14821,0.01485,0.000504755,0.000504755,0.000504755
24,349.938,0.6937,5.77914,0.01058,0.00483,0.41667,0.11859,0.10387,1.26084,8.09852,0.01627,0.000524096,0.000524096,0.000524096
25,364.04,0.70537,4.87769,0.00992,0.00477,0.41667,0.11979,0.10263,1.30869,8.0697,0.01721,0.000543189,0.000543189,0.000543189
26,377.714,0.88689,7.21468,0.0151,0.00463,0.41667,0.12901,0.10076,1.32979,8.00249,0.01715,0.000562036,0.000562036,0.000562036
27,391.702,1.05238,5.3022,0.02207,0.00467,0.41667,0.12126,0.0986,1.28654,7.82624,0.01581,0.000580634,0.000580634,0.000580634
28,405.557,0.82907,4.86249,0.01181,0.00515,0.60417,0.14292,0.10675,1.22773,7.61568,0.01529,0.000598986,0.000598986,0.000598986
29,419.323,0.87093,4.74114,0.01102,0.00515,0.60417,0.14292,0.10675,1.22773,7.61568,0.01529,0.00061709,0.00061709,0.00061709
30,433.25,0.7947,4.95306,0.01233,0.00592,0.66667,0.16895,0.12641,1.20539,7.50329,0.01438,0.000634946,0.000634946,0.000634946
31,447.259,0.87583,4.45255,0.01025,0.05963,0.29167,0.1886,0.14219,1.18283,7.50936,0.01414,0.000652556,0.000652556,0.000652556
32,461.569,0.87849,4.91642,0.01073,0.56539,0.10417,0.2349,0.16324,1.28976,7.52034,0.01522,0.000669917,0.000669917,0.000669917
33,475.475,0.80261,4.63639,0.01103,0.56539,0.10417,0.2349,0.16324,1.28976,7.52034,0.01522,0.000687032,0.000687032,0.000687032
34,489.564,1.18632,4.47774,0.01488,0.9299,0.07292,0.22211,0.14253,1.36293,7.39771,0.01708,0.000696929,0.000696929,0.000696929
35,503.6,1.42514,5.21862,0.02601,0.76843,0.10252,0.26622,0.18361,1.37844,7.30841,0.01755,0.000692806,0.000692806,0.000692806
36,517.969,0.98543,4.65894,0.01143,0.75067,0.10417,0.25604,0.17699,1.37534,7.2816,0.01818,0.000688683,0.000688683,0.000688683
37,534.045,0.88586,4.30717,0.01151,0.75067,0.10417,0.25604,0.17699,1.37534,7.2816,0.01818,0.000684559,0.000684559,0.000684559
38,548.908,0.98496,5.20033,0.01474,0.64637,0.13723,0.26921,0.18051,1.28712,7.20589,0.01638,0.000680436,0.000680436,0.000680436
39,562.978,0.87947,5.76716,0.01343,0.86202,0.08634,0.27496,0.20869,1.36922,6.88924,0.01728,0.000676313,0.000676313,0.000676313
40,577.125,0.96722,4.64373,0.01051,0.92007,0.04167,0.2612,0.21206,1.31006,6.86823,0.01686,0.000672189,0.000672189,0.000672189
41,590.98,0.82157,5.1162,0.01304,0.92007,0.04167,0.2612,0.21206,1.31006,6.86823,0.01686,0.000668066,0.000668066,0.000668066
42,605.066,0.87989,3.75733,0.01146,0.91484,0.04167,0.28078,0.20992,1.30021,6.75312,0.01756,0.000663943,0.000663943,0.000663943
43,619.095,0.8272,5.26602,0.01057,0.83815,0.13542,0.27657,0.21191,1.28785,6.67782,0.01679,0.000659819,0.000659819,0.000659819
44,633.168,0.82506,4.49664,0.01127,0.64469,0.16667,0.25611,0.19467,1.29084,6.60665,0.0174,0.000655696,0.000655696,0.000655696
45,647.015,0.92059,5.40536,0.0168,0.64469,0.16667,0.25611,0.19467,1.29084,6.60665,0.0174,0.000651573,0.000651573,0.000651573
46,661.138,0.95185,3.90647,0.01279,0.48944,0.16667,0.25549,0.19742,1.33605,6.52718,0.01675,0.000647449,0.000647449,0.000647449
47,675.133,0.81667,4.08131,0.0116,0.51281,0.22917,0.25431,0.21022,1.26403,6.4218,0.01561,0.000643326,0.000643326,0.000643326
48,689.104,0.78831,3.39875,0.00908,0.6001,0.19792,0.27477,0.2259,1.21755,6.30949,0.01558,0.000639203,0.000639203,0.000639203
49,704.577,0.93829,3.66087,0.00927,0.6001,0.19792,0.27477,0.2259,1.21755,6.30949,0.01558,0.000635079,0.000635079,0.000635079
50,718.74,0.81506,4.61296,0.01422,0.65522,0.1761,0.30019,0.25287,1.25666,6.20374,0.01582,0.000630956,0.000630956,0.000630956
51,732.881,0.98867,3.85474,0.01036,0.52348,0.23457,0.34323,0.27224,1.27733,6.10982,0.0154,0.000626832,0.000626832,0.000626832
52,746.928,0.84851,3.60208,0.00991,0.56387,0.26042,0.35292,0.26113,1.36605,6.05479,0.01653,0.000622709,0.000622709,0.000622709
53,760.818,0.86752,3.35793,0.0103,0.56387,0.26042,0.35292,0.26113,1.36605,6.05479,0.01653,0.000618586,0.000618586,0.000618586
54,775.083,0.71836,3.28277,0.00804,0.62065,0.31443,0.40544,0.2607,1.41362,5.96878,0.01796,0.000614462,0.000614462,0.000614462
55,790.364,0.90245,4.37608,0.01636,0.61323,0.30873,0.3891,0.26597,1.47423,5.84864,0.01861,0.000610339,0.000610339,0.000610339
56,809.264,0.70005,4.59792,0.00997,0.64739,0.31297,0.39554,0.25754,1.42102,5.89602,0.018,0.000606216,0.000606216,0.000606216
57,827.334,0.89633,3.50815,0.01124,0.64739,0.31297,0.39554,0.25754,1.42102,5.89602,0.018,0.000602092,0.000602092,0.000602092
58,847.653,0.8876,3.4218,0.00957,0.65694,0.35417,0.41146,0.26651,1.39986,5.93817,0.01707,0.000597969,0.000597969,0.000597969
59,866.255,0.761,3.77145,0.00942,0.58367,0.35417,0.39937,0.27119,1.34584,5.88598,0.01761,0.000593846,0.000593846,0.000593846
60,885.187,0.95899,3.18318,0.01288,0.51429,0.35417,0.38023,0.27523,1.33002,5.85137,0.017,0.000589722,0.000589722,0.000589722
61,2460.81,0.9611,3.52471,0.01125,0.51429,0.35417,0.38023,0.27523,1.33002,5.85137,0.017,0.000585599,0.000585599,0.000585599
62,2477.53,0.70077,2.7001,0.00775,0.68285,0.35195,0.37322,0.27602,1.23519,5.8243,0.01593,0.000581476,0.000581476,0.000581476
63,2493.43,0.90377,3.23276,0.01445,0.64318,0.30857,0.33647,0.26468,1.23793,5.7021,0.01579,0.000577352,0.000577352,0.000577352
64,2509.15,0.84528,3.17722,0.0097,0.64142,0.29167,0.32988,0.2742,1.26862,5.60158,0.01654,0.000573229,0.000573229,0.000573229
65,2524.78,0.83289,3.2903,0.00954,0.64142,0.29167,0.32988,0.2742,1.26862,5.60158,0.01654,0.000569106,0.000569106,0.000569106
66,2542.63,0.80383,3.33593,0.01262,0.74093,0.22917,0.33067,0.26481,1.28752,5.60324,0.01776,0.000564982,0.000564982,0.000564982
67,2561.04,0.93012,2.98836,0.00992,0.68004,0.29167,0.32026,0.25427,1.25703,5.64999,0.01745,0.000560859,0.000560859,0.000560859
68,2579.78,0.99437,3.0448,0.01057,0.68383,0.29167,0.30889,0.23097,1.31323,5.65914,0.0176,0.000556736,0.000556736,0.000556736
69,2597.92,0.94465,3.72254,0.01307,0.68383,0.29167,0.30889,0.23097,1.31323,5.65914,0.0176,0.000552612,0.000552612,0.000552612
70,2616.21,0.98155,3.4657,0.01119,0.68419,0.32292,0.32799,0.23551,1.35533,5.5758,0.01812,0.000548489,0.000548489,0.000548489
71,2635.35,0.83636,3.36013,0.01128,0.62092,0.34891,0.33264,0.23724,1.31155,5.51873,0.01797,0.000544365,0.000544365,0.000544365
72,2653.71,0.8952,2.80105,0.01179,0.67859,0.34976,0.35649,0.26014,1.36453,5.47223,0.01881,0.000540242,0.000540242,0.000540242
73,2671.94,0.77934,4.34942,0.01145,0.67859,0.34976,0.35649,0.26014,1.36453,5.47223,0.01881,0.000536119,0.000536119,0.000536119
74,2691.01,0.89532,2.82427,0.0098,0.66005,0.35417,0.36274,0.26053,1.39395,5.39392,0.01889,0.000531995,0.000531995,0.000531995
