epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7293,1.04085,6.37244,0.01346,0.03457,0.10417,0.03876,0.03202,1.3103,8.56309,0.01861,8.33e-06,8.33e-06,8.33e-06
2,27.5628,0.90946,6.16771,0.01231,0.0282,0.10417,0.03721,0.03042,1.24441,8.50326,0.01679,2.41653e-05,2.41653e-05,2.41653e-05
3,40.1666,1.12756,6.21264,0.01507,0.02411,0.10417,0.03706,0.03131,1.18388,8.44218,0.01606,3.89011e-05,3.89011e-05,3.89011e-05
4,52.7046,1.05992,6.88965,0.01485,0.01449,0.10417,0.03599,0.03133,1.10116,8.4011,0.01526,5.25373e-05,5.25373e-05,5.25373e-05
5,65.3219,0.94659,5.95376,0.01266,0.01064,0.10417,0.03644,0.0314,1.01203,8.34234,0.01311,6.5074e-05,6.5074e-05,6.5074e-05
6,77.9341,0.75246,6.17324,0.01132,0.01056,0.13542,0.02269,0.01717,1.00723,8.32363,0.01257,7.65111e-05,7.65111e-05,7.65111e-05
7,90.5454,0.77218,6.15994,0.00901,0.01824,0.19792,0.05436,0.0361,1.04751,8.36737,0.0137,8.68486e-05,8.68486e-05,8.68486e-05
8,103.183,0.93087,6.15305,0.01322,0.01511,0.19792,0.05916,0.04007,1.07875,8.3959,0.01424,9.60865e-05,9.60865e-05,9.60865e-05
9,115.898,0.91055,6.01786,0.012,0.01365,0.19792,0.05661,0.03779,1.08098,8.39254,0.01406,0.000104225,0.000104225,0.000104225
10,128.64,0.84008,6.13272,0.01184,0.01004,0.19792,0.05615,0.03665,1.06876,8.37423,0.01382,0.000111264,0.000111264,0.000111264
11,141.215,0.86271,6.31211,0.0135,0.00837,0.19792,0.06056,0.03706,1.06586,8.36288,0.01362,0.000117203,0.000117203,0.000117203
12,153.929,0.96909,5.7832,0.01273,0.01637,0.29167,0.07772,0.04114,1.05497,8.33997,0.01331,0.000122043,0.000122043,0.000122043
13,167.273,0.83655,6.12403,0.01162,0.01352,0.29167,0.076,0.04372,1.03783,8.30863,0.01283,0.000125783,0.000125783,0.000125783
14,180.071,0.90813,5.90863,0.01174,0.01116,0.29167,0.07732,0.04785,1.0391,8.30613,0.01332,0.000128424,0.000128424,0.000128424
15,192.642,0.87134,5.96574,0.01312,0.01358,0.35417,0.09224,0.04875,0.99739,8.29975,0.01244,0.000129965,0.000129965,0.000129965
16,205.67,0.82145,5.99497,0.01058,0.01812,0.41667,0.10197,0.05385,0.99787,8.28079,0.01239,0.000130406,0.000130406,0.000130406
17,218.832,0.76608,5.8271,0.01039,0.01521,0.41667,0.09479,0.05442,1.01778,8.27876,0.01181,0.000129748,0.000129748,0.000129748
18,234.114,0.90242,5.99156,0.0128,0.01278,0.41667,0.10358,0.05268,1.02963,8.28309,0.01197,0.00012799,0.00012799,0.00012799
19,248.491,0.82645,5.76367,0.01015,0.01153,0.41667,0.10374,0.05294,1.03159,8.29426,0.0132,0.000125133,0.000125133,0.000125133
20,262.003,0.85509,5.63325,0.01138,0.01029,0.41667,0.08543,0.05289,1.03066,8.28455,0.0131,0.000121177,0.000121177,0.000121177
21,277.196,0.68641,8.62595,0.01359,0.00729,0.35417,0.07536,0.05384,1.02719,8.2472,0.01192,0.00011612,0.00011612,0.00011612
22,290.667,0.68742,8.71258,0.01363,0.00672,0.35417,0.079,0.06084,1.0135,8.23012,0.01156,0.000109964,0.000109964,0.000109964
23,304.298,0.72737,8.70543,0.01163,0.00643,0.35417,0.08435,0.06642,1.01604,8.22442,0.01186,0.000102709,0.000102709,0.000102709
24,319.266,0.68221,8.67124,0.01132,0.00608,0.35417,0.08922,0.06905,1.02111,8.21865,0.01246,9.43539e-05,9.43539e-05,9.43539e-05
25,334.799,0.72648,8.75433,0.01113,0.00583,0.35417,0.13467,0.11014,1.00375,8.19204,0.01245,8.48994e-05,8.48994e-05,8.48994e-05
26,350.315,0.63198,8.43686,0.01283,0.00557,0.35417,0.13468,0.11148,1.01821,8.17454,0.01295,7.43452e-05,7.43452e-05,7.43452e-05
27,366.733,0.68619,8.65439,0.01369,0.00537,0.35417,0.13362,0.11203,1.00651,8.15757,0.01233,6.26916e-05,6.26916e-05,6.26916e-05
28,383.824,0.61854,8.54353,0.01065,0.00537,0.35417,0.13362,0.11203,1.00651,8.15757,0.01233,4.99383e-05,4.99383e-05,4.99383e-05
29,399.134,0.5995,8.60917,0.01155,0.00515,0.35417,0.1335,0.11597,0.99856,8.14328,0.01239,3.60856e-05,3.60856e-05,3.60856e-05
30,412.271,0.74801,8.65085,0.01686,0.00503,0.35417,0.13407,0.11561,0.99682,8.13358,0.01231,2.11332e-05,2.11332e-05,2.11332e-05
