epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6968,0.84147,2.7905,0.01101,0.68198,0.64093,0.70791,0.50484,1.25845,4.0045,0.01486,4.165e-05,4.165e-05,4.165e-05
2,87.691,0.81336,2.81562,0.0103,0.70265,0.60725,0.65088,0.47458,1.22969,4.10741,0.01511,8.98157e-05,8.98157e-05,8.98157e-05
3,130.664,0.81056,2.66726,0.00984,0.71418,0.56133,0.66884,0.48249,1.2983,4.04232,0.01581,0.000136002,0.000136002,0.000136002
4,171.801,0.81934,2.74485,0.00999,0.66155,0.57178,0.67958,0.49868,1.26173,3.94364,0.01553,0.00018021,0.00018021,0.00018021
5,211.051,0.81673,2.74728,0.00958,0.79562,0.56599,0.70408,0.5153,1.23111,3.85342,0.0149,0.000222438,0.000222438,0.000222438
6,257.625,0.84393,2.93125,0.01013,0.75506,0.58598,0.72193,0.53514,1.24911,3.81144,0.01527,0.000262687,0.000262687,0.000262687
7,302.48,0.83008,2.8815,0.01035,0.68967,0.57954,0.71213,0.52757,1.24735,3.82591,0.01523,0.000300956,0.000300956,0.000300956
8,340.899,0.77827,2.83376,0.00891,0.64252,0.67216,0.70607,0.52217,1.22383,3.88145,0.01489,0.000337247,0.000337247,0.000337247
9,380.258,0.76674,2.80063,0.01074,0.64429,0.62149,0.69424,0.50697,1.24049,4.06233,0.0161,0.000371558,0.000371558,0.000371558
10,418.477,0.7936,2.82062,0.01007,0.76122,0.54754,0.67244,0.47737,1.36084,4.03388,0.01742,0.00040389,0.00040389,0.00040389
11,457.313,0.84065,2.53746,0.01015,0.74517,0.55329,0.67317,0.47771,1.32038,3.99643,0.01738,0.000434243,0.000434243,0.000434243
12,492.812,0.798,2.46127,0.00938,0.61054,0.62892,0.64682,0.46932,1.27599,3.93083,0.01629,0.000462617,0.000462617,0.000462617
13,528.35,0.8198,2.56554,0.0105,0.72303,0.62131,0.64532,0.47405,1.20743,3.80299,0.01443,0.000489011,0.000489011,0.000489011
14,563.442,0.77077,2.54147,0.00902,0.62921,0.6147,0.67395,0.47895,1.26553,3.75346,0.01557,0.000513426,0.000513426,0.000513426
15,598.336,0.80629,2.30945,0.00935,0.70659,0.63511,0.69186,0.47311,1.28942,3.731,0.01561,0.000535862,0.000535862,0.000535862
16,633.653,0.87513,2.52055,0.01073,0.63811,0.57584,0.65687,0.46257,1.23078,3.71859,0.01547,0.000556319,0.000556319,0.000556319
17,668.7,0.77451,2.37117,0.00946,0.64126,0.62179,0.67639,0.47933,1.22907,3.70202,0.01581,0.000569106,0.000569106,0.000569106
18,703.877,0.852,2.43073,0.01111,0.58731,0.65354,0.67389,0.47597,1.21144,3.70107,0.01541,0.000552612,0.000552612,0.000552612
